start_year fit_order r2 2018 2019 2020
1990 1 0.819 172584 170243 167903
1991 1 0.819 171892 169475 167057
1991 3 0.952 164118 161833 159965
1992 1 0.818 171235 168741 166248
1992 3 0.972 165940 164984 164745
1993 1 0.841 169946 167298 164650
1993 3 0.978 166991 166839 167595
1993 4 0.979 166234 165199 164739
1994 1 0.884 168236 165374 162513
1994 3 0.978 167221 167255 168241
1994 4 0.979 165795 164066 162600
1995 3 0.978 167160 167142 168063
1996 3 0.979 166600 166077 166360
1997 3 0.978 166419 165724 165786
