year month emi[t]
2000 January 18996.401495621336
2000 February 19320.946257208438
2000 March 20260.684807516303
2000 April 20357.885419869046
2000 May 19652.908519337157
2000 June 19206.763390849712
2000 July 18559.682283857826
2000 August 18177.130349242852
2000 September 19277.2103460305
2000 October 20470.365968691443
2000 November 20076.886487614593
2000 December 19346.13467416082
2001 January 18211.19446598243
2001 February 18522.3243274744
2001 March 19423.219241218023
2001 April 19516.402113467608
2001 May 18840.565090725642
2001 June 18412.86115444022
2001 July 17792.526830731138
2001 August 17425.78749453544
2001 September 18480.396218943322
2001 October 19624.233333434047
2001 November 19247.01813560218
2001 December 18546.47159344558
2002 January 18295.323790586597
2002 February 18607.89096280305
2002 March 19512.94769474998
2002 April 19606.561039153476
2002 May 18927.601886648306
2002 June 18497.922108341234
2002 July 17874.722057851857
2002 August 17506.288514682663
2002 September 18565.769161131237
2002 October 19714.89040149734
2002 November 19335.932601889224
2002 December 18632.14978066507
2003 January 17879.71679860484
2003 February 18185.183516971774
2003 March 19069.680464886304
2003 April 19161.167235257974
2003 May 18497.63170543809
2003 June 18077.712777620556
2003 July 17468.66969430768
2003 August 17108.605697279043
2003 September 18144.018578129504
2003 October 19267.035726127666
2003 November 18896.686547661535
2003 December 18208.89125771507
2004 January 17041.431074312288
2004 February 17332.576067556958
2004 March 18175.603613412786
2004 April 18262.801051104972
2004 May 17630.375206548797
2004 June 17230.144064981723
2004 July 16649.65580320048
2004 August 16306.473310053625
2004 September 17293.341135826184
2004 October 18363.705926188788
2004 November 18010.720469576234
2004 December 17355.172277237194
2005 January 17008.5921881866
2005 February 17299.17614420162
2005 March 18140.57917358002
2005 April 18227.608581561886
2005 May 17596.401423406038
2005 June 17196.941528386546
2005 July 16617.571869135965
2005 August 16275.05068962901
2005 September 17260.01681829583
2005 October 18328.319012664568
2005 November 17976.01376003037
2005 December 17321.72881092157
2006 January 16531.046505046997
2006 February 16813.471813229833
2006 March 17631.2509953189
2006 April 17715.836901944036
2006 May 17102.35197795131
2006 June 16714.107611315554
2006 July 16151.00475866813
2006 August 15818.10045449381
2006 September 16775.41195321952
2006 October 17813.719713271483
2006 November 17471.306040768166
2006 December 16835.39127477229
2007 January 16396.439585680328
2007 February 16676.565196704
2007 March 17487.68546966777
2007 April 17571.582620846646
2007 May 16963.093104475054
2007 June 16578.010085073925
2007 July 16019.492395274983
2007 August 15689.298822258253
2007 September 16638.81524571886
