year emi[t] emi_err[t]
1990 228435 44594
1991 228285 43751
1992 219305 42383
1993 214768 41472
1994 217252 41718
1995 218887 41628
1996 226313 42590
1997 227518 42652
1998 227400 42517
1999 228382 42585
2000 233703 43342
2001 224043 41143
2002 225078 41859
2003 219965 41202
2004 209652 39888
2005 209248 39618
2006 203373 38832
2007 201717 38544
2008 200014 38452
2009 198373 38225
2010 197193 38219
2011 184005 36149
2012 185232 36247
2013 181428 35447
2014 173073 34234
2015 167726 33637
2016 167679 33695
2017 169085 33924
2018 168052 33600
2019 166446 33818
2020 165462 33818
