start_year fit_order r2 2015 2016 2017 2018 2019 2020
1994 2 0.983 152700 143600 136419 131158 127816 126393
1995 2 0.989 162042 157171 154711 154662 157024 161797
1996 2 0.991 167934 165888 166598 170063 176284 185260
1997 2 0.991 172663 173028 176458 182953 192512 205136
1997 4 0.992 173088 169843 166776 163043 157710 149751
1998 3 0.991 173552 173385 175841 180847 188330 198218
1999 3 0.987 173365 172942 175048 179599 186511 195699
2000 2 0.983 174575 175872 180347 187999 198828 212835
2000 3 0.983 174306 175298 179367 186501 196688 209916
2001 3 0.977 173238 172456 174017 177808 183713 191618
