year month emi[t]
2000 January 43299.046769175184
2000 February 44038.79102094254
2000 March 46180.764249396154
2000 April 46402.31641343227
2000 May 44795.442195999334
2000 June 43778.53071470272
2000 July 42303.62005219912
2000 August 41431.65837501777
2000 September 43939.102494985535
2000 October 46658.696578128525
2000 November 45761.827428580145
2000 December 44096.20370744077
2001 January 39827.716395701136
2001 February 40508.15456843511
2001 March 42478.40353776733
2001 April 42682.19363049441
2001 May 41204.144218537294
2001 June 40268.759606203355
2001 July 38912.09409140943
2001 August 38110.03850409286
2001 September 40416.45817703677
2001 October 42918.01952623387
2001 November 42093.0533249526
2001 December 40560.964419135904
2002 January 37314.810047741834
2002 February 37952.31637405336
2002 March 39798.25364313882
2002 April 39989.18571979043
2002 May 38604.39296641255
2002 June 37728.0258962034
2002 July 36456.95839436889
2002 August 35705.508032738864
2002 September 37866.40551255436
2002 October 40210.132319299875
2002 November 39437.21687542219
2002 December 38001.79421827549
2003 January 34408.24348813229
2003 February 34996.09246479563
2003 March 36698.24394130715
2003 April 36874.30372493509
2003 May 35597.37678418786
2003 June 34789.272669543905
2003 July 33617.2125669461
2003 August 32924.29501010661
2003 September 34916.87346738011
2003 October 37078.04010692576
2003 November 36365.329449825935
2003 December 35041.716325913636
2004 January 28348.087163626195
2004 February 28832.401163416635
2004 March 30234.760991476043
2004 April 30379.812222993154
2004 May 29327.784204464097
2004 June 28662.00753129236
2004 July 27696.376665511292
2004 August 27125.499302786626
2004 September 28767.134622143614
2004 October 30547.665508414862
2004 November 29960.4811077674
2004 December 28869.98951610777
2005 January 25659.28143552832
2005 February 26097.65842908204
2005 March 27367.00493893144
2005 April 27498.298114043555
2005 May 26546.054569366755
2005 June 25943.42657081724
2005 July 25069.385440461836
2005 August 24552.655587376023
2005 September 26038.58239544416
2005 October 27650.23057656399
2005 November 27118.740402154704
2005 December 26131.681540229987
2006 January 23770.151355213835
2006 February 24176.253432296453
2006 March 25352.146012809455
2006 April 25473.7729045119
2006 May 24591.637009909173
2006 June 24033.376687132655
2006 July 23223.685659290262
2006 August 22744.999346562883
2006 September 24121.526792169512
2006 October 25614.51954385
2006 November 25122.159618601858
2006 December 24207.77163765205
2007 January 23546.375480203908
2007 February 23948.654449630016
2007 March 25113.476995830242
2007 April 25233.958873194802
2007 May 24360.127542107155
2007 June 23807.1227682056
2007 July 23005.054296716993
2007 August 22530.874410847617
2007 September 23894.443014543114
2007 October 25373.380501938653
2007 November 24885.655729048012
2007 December 23979.875937733927
2008 January 22943.733149174623
2008 February 23335.716252213024
2008 March 24470.726508404212
2008 April 24588.124791035356
2008 May 23736.65816532395
2008 June 23197.806910986143
2008 July 22416.26645722618
2008 August 21954.222658797848
2008 September 23282.89229630043
2008 October 24723.978083947106
2008 November 24248.73606426333
2008 December 23366.13866232784
2009 January 20153.56580969375
2009 February 20497.880190095988
2009 March 21494.862840831247
2009 April 21597.984420897083
2009 May 20850.06390750626
2009 June 20376.741883347182
2009 July 19690.243881239974
2009 August 19284.388825393442
2009 September 20451.480109303073
2009 October 21717.316713569737
2009 November 21299.868460621703
2009 December 20524.602957500585
2010 January 17646.105514631527
2010 February 17947.581091914253
2010 March 18820.521454788865
2010 April 18910.81288509258
2010 May 18255.946921397768
2010 June 17841.514534614253
2010 July 17240.42903465073
2010 August 16885.069531189074
2010 September 17906.954002430895
2010 October 19015.298128433074
2010 November 18649.787826783308
2010 December 17970.979074073704
2011 January 13766.80888010596
2011 February 14002.0084628711
2011 March 14683.04276414854
2011 April 14753.4846451331
2011 May 14242.583553852783
2011 June 13919.259438067344
2011 July 13450.31578408435
2011 August 13173.0780466227
2011 September 13970.312779321626
2011 October 14834.99998995903
2011 November 14549.842992436266
2011 December 14020.262663397223
2012 January 15653.419144900898
2012 February 15920.850594250704
2012 March 16695.214171372467
2012 April 16775.309442397836
2012 May 16194.394214108816
2012 June 15826.761602359722
