year emi[t] emi_err[t]
1990 653341 101719
1991 673257 104443
1992 722746 111909
1993 724712 112604
1994 721765 112181
1995 726511 112955
1996 700417 109103
1997 670030 104926
1998 647091 100824
1999 596549 93247
2000 532686 84312
2001 489980 78474
2002 459065 73406
2003 423307 68597
2004 348752 57722
2005 315673 52077
2006 292432 48824
2007 289679 46978
2008 282265 44679
2009 247939 39517
2010 217091 35484
2011 169366 28612
2012 192576 31370
2013 187090 30036
2014 170603 27644
2015 179758 28948
2016 167948 29322
2017 168558 32139
2018 171463 40305
2019 176542 48726
2020 183662 57269
