start_year fit_order r2 2018 2019 2020 2021
1991 3 0.945 593698 589400 585642 582472 582472
1991 4 0.947 597612 597420 599193 603214 603214
1992 3 0.95 596495 594235 592977 592809 592809
1992 4 0.95 594841 590755 587012 583587 583587
1993 1 0.92 595438 589529 583621 577712 577712
1993 2 0.932 585334 576798 568061 559121 559121
1993 3 0.95 598164 597182 597503 599240 599240
1993 4 0.954 592437 584773 575903 565494 565494
1994 1 0.932 593364 587196 581029 574861 574861
1994 3 0.948 597686 596319 596160 597315 597315
1995 3 0.946 596733 594556 593380 593292 593292
1997 4 0.948 595003 592213 590704 590714 590714
