year month emi[t]
2000 January 59323.122648564015
2000 February 60336.630849104964
2000 March 63271.30378125725
2000 April 63574.84778928669
2000 May 61373.30287330365
2000 June 59980.053621206054
2000 July 57959.30922482676
2000 August 56764.65268201571
2000 September 60200.04967484659
2000 October 63926.1089160273
2000 November 62697.32716380986
2000 December 60415.290775751266
2001 January 55828.13852295488
2001 February 56781.936531012376
2001 March 59543.71506964988
2001 April 59829.37597506903
2001 May 57757.5336807561
2001 June 56446.366824218574
2001 July 54544.67330162921
2001 August 53420.39919093346
2001 September 56653.40194996384
2001 October 60159.94277543079
2001 November 59003.55392038567
2001 December 56855.96225799628
2002 January 57099.10095726482
2002 February 58074.61277255703
2002 March 60899.26492416747
2002 April 61191.42907847409
2002 May 59072.420000608035
2002 June 57731.40361184786
2002 July 55786.41684873987
2002 August 54636.54793588223
2002 September 57943.152021509915
2002 October 61529.521438462325
2002 November 60346.80666904675
2002 December 58150.32374143971
2003 January 56452.72763431569
2003 February 57417.19645938467
2003 March 60209.87297973642
2003 April 60498.729776972614
2003 May 58403.70830864957
2003 June 57077.87249549917
2003 July 55154.90337428196
2003 August 54018.051209108584
2003 September 57287.22387051641
2003 October 60832.99486335189
2003 November 59663.66866333219
2003 December 57492.05036485093
2004 January 54582.1303907256
2004 February 55514.64092429467
2004 March 58214.780321638864
2004 April 58494.06566411378
2004 May 56468.464072351766
2004 June 55186.56067702177
2004 July 53327.310367780454
2004 August 52228.128526356864
2004 September 55388.97506030345
2004 October 58817.25466302285
2004 November 57686.67483467156
2004 December 55587.01449771845
2005 January 54161.64633644796
2005 February 55086.973093806664
2005 March 57766.311442295075
2005 April 58043.445255830695
2005 May 56033.44827978371
2005 June 54761.42027650973
2005 July 52916.49306353363
2005 August 51825.778983147604
2005 September 54962.27532123285
2005 October 58364.14450544661
2005 November 57242.27431863013
2005 December 55158.78912333543
2006 January 53265.40485520586
2006 February 54175.419740054334
2006 March 56810.42165616621
2006 April 57082.96958953854
2006 May 55106.23309925881
2006 June 53855.254017850195
2006 July 52040.85579374327
2006 August 50968.19033759855
2006 September 54052.78540764453
2006 October 57398.36205861969
2006 November 56295.0560526582
2006 December 54246.04739166191
2007 January 53354.00482024793
2007 February 54265.533394651655
2007 March 56904.918288388275
2007 April 57177.91956924636
