year emi[t] emi_err[t]
1990 776217 77622
1991 755602 75560
1992 735842 73584
1993 717233 71723
1994 719089 71909
1995 714555 71456
1996 732900 73290
1997 728185 72819
1998 727301 72730
1999 725127 72513
2000 729822 72982
2001 686825 68683
2002 702461 70246
2003 694509 69451
2004 671496 67150
2005 666323 66632
2006 655297 65530
2007 656387 65639
2008 664207 66421
2009 657442 65744
2010 661243 66124
2011 625569 62557
2012 635414 63541
2013 624934 62493
2014 604984 60498
2015 598798 59880
2016 598716 59872
2017 604273 60427
2018 598620 59862
2019 587599 60108
2020 584986 60108
2021 584986 60108
