start_year fit_order r2 2015 2016 2017 2018 2019 2020
1994 2 0.982 599997 572936 552006 537206 528537 525999
1995 2 0.987 628580 614457 607969 609116 617898 634315
1996 2 0.988 645672 639746 642454 653796 673773 702384
1997 2 0.987 658640 659323 669489 689137 718268 756880
1997 3 0.987 656251 654817 662278 678579 703658 737459
1998 2 0.985 666237 671054 685912 710811 745751 790731
1998 3 0.985 645591 630675 620030 613051 609129 607657
1999 2 0.98 662783 665586 678142 700451 732513 774328
1999 3 0.98 645338 630073 618954 611357 606660 604239
2000 2 0.973 656730 655729 663904 681256 707783 743488
2000 3 0.973 649047 639366 635991 638584 646807 660323
2001 2 0.963 657293 656675 665295 683153 710249 746584
2001 3 0.963 646249 631916 621967 615795 612792 612353
