year month emi[t]
2000 January 143882.36029411596
2000 February 146340.52408524274
2000 March 153458.2827148881
2000 April 154194.49865192067
2000 May 148854.86943715918
2000 June 145475.68132433205
2000 July 140574.56586848205
2000 August 137677.04470900507
2000 September 146009.25997022886
2000 October 155046.44773582873
2000 November 152066.15925973543
2000 December 146531.30594906135
2001 January 133079.2608868531
2001 February 135352.85870519077
2001 March 141936.19564564657
2001 April 142617.13438305078
2001 May 137678.4198119404
2001 June 134552.9508139797
2001 July 130019.82513371989
2001 August 127339.858155704
2001 September 135046.4668480217
2001 October 143405.11669143077
2001 November 140648.5968038131
2001 December 135529.31612064946
2002 January 125117.13155131998
2002 February 127254.70006076347
2002 March 133444.1560927292
2002 April 134084.35428002322
2002 May 129441.12289618344
2002 June 126502.65064159298
2002 July 122240.74177392985
2002 August 119721.11716294938
2002 September 126966.63962186255
2002 October 134825.1916237286
2002 November 132233.5942620922
2002 December 127420.60003282539
2003 January 117345.85792029953
2003 February 119350.65780256965
2003 March 125155.67442280024
2003 April 125756.10862869654
2003 May 121401.2775715631
2003 June 118645.31966704161
2003 July 114648.12642697021
2003 August 112285.00070672198
2003 September 119080.48936986495
2003 October 126450.93109304343
2003 November 124020.3029926824
2003 December 119506.2533977466
2004 January 96146.24353250815
2004 February 97788.85777668201
2004 March 102545.14446264262
2004 April 103037.10467673527
2004 May 99469.01412132375
2004 June 97210.94549794351
2004 July 93935.88218069013
2004 August 91999.67697478303
2004 September 97567.49776972493
2004 October 103606.40103753503
2004 November 101614.88838070999
2004 December 97916.34358872173
2005 January 88618.33531005279
2005 February 90132.33871285917
2005 March 94516.22510177136
2005 April 94969.66658434915
2005 May 91680.9448034594
2005 June 89599.67490598117
2005 July 86581.03737479272
2005 August 84796.43013625687
2005 September 89928.31040556368
2005 October 95494.38906895761
2005 November 93658.8047558059
2005 December 90249.84284015033
2006 January 83567.32445893873
2006 February 84995.03367003587
2006 March 89129.05012353374
2006 April 89556.646640272
2006 May 86455.37330719443
2006 June 84492.73029205923
2006 July 81646.14712041462
2006 August 79963.25777688641
2006 September 84802.63443690972
2006 October 90051.46133035567
2006 November 88320.50047070741
2006 December 85105.84037269227
2007 January 84433.97842891907
2007 February 85876.49402353735
2007 March 90053.38323614992
2007 April 90485.41423994613
2007 May 87351.9784454818
2007 June 85368.98139398449
2007 July 82492.87708327557
2007 August 80792.53495254795
2007 September 85682.09947034693
2007 October 90985.36051846275
2007 November 89236.4483350093
2007 December 85988.44987233884
2008 January 83557.48904997534
2008 February 84985.0302276448
2008 March 89118.56013041551
2008 April 89546.1063214237
2008 May 86445.19799095613
2008 June 84482.78596797997
2008 July 81636.53782333095
2008 August 79953.84654651172
2008 September 84792.65363883751
2008 October 90040.86277457244
2008 November 88310.10563938304
2008 December 85095.82388896903
2009 January 74611.81881810365
2009 February 75886.52734410964
2009 March 79577.52126567523
2009 April 79959.29433356617
2009 May 77190.369451369
2009 June 75438.05338766832
2009 July 72896.52475517312
2009 August 71393.98251628716
2009 September 75714.74660545737
2009 October 80401.08212854578
2009 November 78855.61996522422
2009 December 75985.45942882048
2010 January 66333.65584579663
2010 February 67466.93577392602
2010 March 70748.41482644649
2010 April 71087.83026622298
2010 May 68626.11691962428
2010 June 67068.21989280127
2010 July 64808.67323785135
2010 August 63472.8376913273
2010 September 67314.2140660358
2010 October 71480.60181385801
2010 November 70106.60829797287
2010 December 67554.8913681371
2011 January 51259.06271104673
2011 February 52134.80016535193
2011 March 54670.549754205495
2011 April 54932.831654558555
2011 May 53030.552680167915
2011 June 51826.694090179844
2011 July 50080.638604351334
2011 August 49048.37711992329
2011 September 52016.78508684817
2011 October 55236.344270207854
2011 November 54174.59637018176
2011 December 52202.767492977204
2012 January 58917.188496802446
2012 February 59923.76149950954
2012 March 62838.3531561958
2012 April 63139.820084093226
2012 May 60953.33982128648
2012 June 59569.624245571584
2012 July 57562.7073270095
2012 August 56376.22553745993
2012 September 59788.1149180481
2012 October 63488.677613700645
2012 November 62268.30412551276
2012 December 60001.88317481008
2013 January 57182.336153781405
2013 February 58159.27000403195
2013 March 60988.03974196141
2013 April 61280.62979335556
2013 May 59158.53176778176
2013 June 57815.56053628713
2013 July 55867.73850339843
2013 August 54716.19338963174
2013 September 58027.61761841854
2013 October 61619.21500145442
2013 November 60434.776150667945
2013 December 58235.09133922981
2014 January 51920.067220883546
2014 February 52807.09763249449
2014 March 55375.54664707689
2014 April 55641.21076922279
2014 May 53714.40120619989
2014 June 52495.018415902625
2014 July 50726.4469009172
2014 August 49680.87402411383
2014 September 52687.560706048265
2014 October 55948.637291937994
2014 November 54873.19776133755
2014 December 52875.94142386502
2015 January 55118.36339015913
2015 February 56060.03521730248
2015 March 58786.70168197735
2015 April 59068.73081652893
2015 May 57023.22904114577
2015 June 55728.731800582165
2015 July 53851.21559803685
2015 August 52741.235028686555
2015 September 55933.1347700751
2015 October 59395.09493163497
2015 November 58253.40791109246
2015 December 56133.11981277833
2016 January 52049.47194046793
2016 February 52938.71317205315
2016 March 55513.563746615895
2016 April 55779.89000564008
2016 May 53848.27809422779
2016 June 52625.8561343668
2016 July 50852.87666089419
2016 August 49804.69781549004
2016 September 52818.87831374214
2016 October 56088.08275315226
2016 November 55009.9628147955
2016 December 53007.728548554325
2017 January 52661.624542974205
2017 February 53561.32411955077
2017 March 56166.45745052815
2017 April 56435.91596635532
2017 May 54481.58641315877
2017 June 53244.78757767942
2017 July 51450.95613475517
2017 August 50390.4496828608
2017 September 53440.07988631911
2017 October 56747.73336144661
2017 November 55656.93368011698
2017 December 53631.151184254784
2018 January 53859.10590535934
2018 February 54779.26389893398
2018 March 57443.635786212035
2018 April 57719.22156365408
2018 May 55720.45218855265
2018 June 54455.52958045216
2018 July 52620.90790861256
2018 August 51536.286425671315
2018 September 54655.262673094294
2018 October 58038.1294258992
2018 November 56922.52587078435
2018 December 54850.67877277413
2019 January 55628.17896882324
2019 February 56578.56076008632
2019 March 59330.447440965225
2019 April 59615.08519517798
2019 May 57550.66361508485
2019 June 56244.19296277268
2019 July 54349.31073282056
2019 August 53229.06343290238
2019 September 56450.4865511404
2019 October 59944.46800496151
2019 November 58792.22098602226
2019 December 56652.32134924271
2020 January 57954.6189683362
2020 February 58944.74691442564
2020 March 61811.72093713739
2020 April 62108.26259812989
2020 May 59957.50432629501
2020 June 58596.39543774951
2020 July 56622.2668636631
2020 August 55455.16942095422
2020 September 58811.316481923226
2020 October 62451.420608864406
2020 November 61250.98517887394
2020 December 59021.592263647566
