year emi[t] emi_err[t]
1990 2157892 215789
1991 2222126 222213
1992 2382422 238242
1993 2391990 239199
1994 2384355 238435
1995 2400437 240044
1996 2316716 231672
1997 2222177 222218
1998 2140126 214013
1999 1976605 197660
2000 1770111 177011
2001 1637206 163721
2002 1539252 153925
2003 1443646 144365
2004 1182838 118284
2005 1090226 109023
2006 1028086 102809
2007 1038748 103875
2008 1027965 102797
2009 917911 91791
2010 816069 81607
2011 630614 63061
2012 724828 72483
2013 703485 70349
2014 638746 63875
2015 678093 67809
2016 640181 67515
2017 640338 88332
2018 647869 110663
2019 662601 134064
2020 684365 158366
