year month emi[t]
2000 January 21074.436455530107
2000 February 21434.48348636482
2000 March 22477.020956834687
2000 April 22584.854439346553
2000 May 21802.759425388234
2000 June 21307.8100444531
2000 July 20589.94410157872
2000 August 20165.544436260963
2000 September 21385.963261039164
2000 October 22709.639345539825
2000 November 22273.116758753033
2000 December 21462.42728891083
2001 January 20513.81814461711
2001 February 20864.287270073346
2001 March 21879.091349095634
2001 April 21984.056264993476
2001 May 21222.76639980504
2001 June 20740.98357193589
2001 July 20042.214167809074
2001 August 19629.104304903096
2001 September 20817.057770923195
2001 October 22105.52166589487
2001 November 21680.611373263426
2001 December 20891.48771668588
2002 January 20169.822684013398
2002 February 20514.414805618435
2002 March 21512.201672431627
2002 April 21615.40643552237
2002 May 20866.88261203238
2002 June 20393.17878265173
2002 July 19706.127016915478
2002 August 19299.944578078896
2002 September 20467.97729619929
2002 October 21734.83498759163
2002 November 21317.050000000843
2002 December 20541.159128943968
2003 January 19422.65674028246
2003 February 19754.483876206916
2003 March 20715.30897207823
2003 April 20814.69064334411
2003 May 20093.89495201198
2003 June 19637.738890614866
2003 July 18976.13810126946
2003 August 18585.00218465545
2003 September 19709.766586449256
2003 October 20929.69511354546
2003 November 20527.386450135615
2003 December 19780.237489406234
2004 January 18105.36221416153
2004 February 18414.68398042329
2004 March 19310.34344749956
2004 April 19402.98479825698
2004 May 18731.07532426061
2004 June 18305.856939967634
2004 July 17689.127617483628
2004 August 17324.51954455314
2004 September 18372.999532248967
2004 October 19510.18936955153
2004 November 19135.166314243983
2004 December 18438.69091734918
2005 January 18163.480539854267
2005 February 18473.79523091603
2005 March 19372.32977047091
2005 April 19465.268500542385
2005 May 18791.202192941484
2005 June 18364.61885498138
2005 July 17745.909827523545
2005 August 17380.131360403637
2005 September 18431.976975402933
2005 October 19572.817199179794
2005 November 19196.590317524406
2005 December 18497.879230259263
2006 January 17391.522862785867
2006 February 17688.649012832786
2006 March 18548.995351926937
2006 April 18637.98413606056
2006 May 17992.566008518756
2006 June 17584.112691505088
2006 July 16991.69912997239
2006 August 16641.46644413487
2006 September 17648.60805563617
2006 October 18740.96195725024
2006 November 18380.72492010599
2006 December 17711.709429270377
2007 January 17033.14006840927
