year emi[t] emi_err[t]
1990 225489 34823
1991 234745 34451
1992 220941 34711
1993 219077 35870
1994 224876 36834
1995 231761 37161
1996 239546 37119
1997 246936 36630
1998 245927 36636
1999 249125 34159
2000 259268 30837
2001 252371 28167
2002 248139 27740
2003 238947 26654
2004 222741 24445
2005 223456 21999
2006 213959 20407
2007 209550 19686
2008 200065 18965
2009 198837 17019
2010 194214 17915
2011 176952 18014
2012 174783 18230
2013 169820 17395
2014 157675 16888
2015 147118 16535
2016 146420 14473
2017 147299 14332
2018 146817 13543
2019 146126 15154
2020 143917 15154
