start_year fit_order r2 2015 2016 2017 2018 2019 2020
1994 2 0.983 110198 103748 98682 94998 92698 91780
1995 2 0.988 116665 113142 111343 111268 112915 116286
1996 2 0.989 120563 118910 119209 121459 125660 131812
1997 2 0.989 123594 123487 125528 129719 136060 144550
1997 3 0.989 124739 125647 128985 134782 143064 153860
1998 2 0.987 125689 126721 130056 135695 143637 153883
1998 3 0.988 122201 119899 118925 119178 120555 122953
1999 2 0.983 125141 125853 128823 134051 141536 151279
1999 3 0.983 122111 119685 118543 118577 119678 121739
2000 2 0.977 123976 123956 126083 130357 136777 145345
2000 3 0.977 122906 121678 122197 124416 128289 133767
2001 2 0.969 124315 124527 126922 131502 138266 147214
2001 3 0.969 122169 119714 118500 118408 119321 121120
2002 2 0.957 124437 124739 127241 131943 138844 147945
