year month emi[t]
2000 January 30903.74909104617
2000 February 31431.725396622413
2000 March 32960.51201321355
2000 April 33118.64003216164
2000 May 31971.768649492526
2000 June 31245.970286463267
2000 July 30193.285009378396
2000 August 29570.941403703368
2000 September 31360.57488816307
2000 October 33301.625776026434
2000 November 32661.50500586494
2000 December 31472.702447864274
2001 January 28459.12161522938
2001 February 28945.332587434925
2001 March 30353.18521130663
2001 April 30498.804582883873
2001 May 29442.655956377483
2001 June 28774.2715535424
2001 July 27804.85848217496
2001 August 27231.745093628277
2001 September 28879.810408644764
2001 October 30667.315319984387
2001 November 30077.831021726917
2001 December 28983.068167066052
2002 January 26651.682328371116
2002 February 27107.01403364962
2002 March 28425.453913976547
2002 April 28561.824996844294
2002 May 27572.752387163648
2002 June 26946.817088863154
2002 July 26038.971457772783
2002 August 25502.256510059542
2002 September 27045.653169523594
2002 October 28719.633614230406
2002 November 28167.587473554246
2002 December 27142.3530259911
2003 January 24808.640486752833
2003 February 25232.484671870166
2003 March 26459.750575441634
2003 April 26586.691198775334
2003 May 25666.015855037615
2003 June 25083.365814706955
2003 July 24238.300366241256
2003 August 23738.700828109664
2003 September 25175.367091099717
2003 October 26733.586888368478
2003 November 26219.716354141256
2003 December 25265.379869455144
2004 January 20072.687859953512
2004 February 20415.62047787183
2004 March 21408.602153619362
2004 April 21511.309898136275
2004 May 20766.39085248882
2004 June 20294.968309307074
2004 July 19611.22528125436
2004 August 19206.99895578331
2004 September 20369.406604494405
2004 October 21630.16330031082
2004 November 21214.39030221049
2004 December 20442.23600456977
2005 January 18231.840696368377
2005 February 18543.323289187905
2005 March 19445.239557350502
2005 April 19538.528072041725
2005 May 18861.92484547381
2005 June 18433.736016556988
2005 July 17812.698413039026
2005 August 17445.543300445966
2005 September 18501.347646301518
2005 October 19646.48154144185
2005 November 19268.838690613684
2005 December 18567.497931178674
2006 January 17115.887558696268
2006 February 17408.304606649748
2006 March 18255.015462142517
2006 April 18342.593878088792
2006 May 17707.40487327842
2006 June 17305.425063796538
2006 July 16722.40056459427
2006 August 16377.718657353003
2006 September 17368.89825181085
2006 October 18443.939621209058
2006 November 18089.41191993269
2006 December 17430.999542447873
2007 January 17199.041470841257
2007 February 17492.87916504705
2007 March 18343.703585778454
2007 April 18431.70748289714
2007 May 17793.432546929515
2007 June 17389.499803739283
2007 July 16803.642803574458
2007 August 16457.2863323391
2007 September 17453.281362784986
2007 October 18533.545592831037
2007 November 18177.295493856986
2007 December 17515.68435938076
2008 January 16773.11136366653
2008 February 17059.67223835902
2008 March 17889.426197848537
2008 April 17975.250699714583
2008 May 17352.782488345216
2008 June 16958.853041960218
2008 July 16387.504648876336
2008 August 16049.725611980213
2008 September 17021.055066104156
2008 October 18074.56681345746
2008 November 17727.139162123545
2008 December 17081.912667564215
2009 January 14761.648304096709
2009 February 15013.84425976705
2009 March 15744.092563933704
2009 April 15819.624830127632
2009 May 15271.804177328595
2009 June 14925.115491008939
2009 July 14422.284271746623
2009 August 14125.012332209035
2009 September 14979.858131435494
2009 October 15907.030768728728
2009 November 15601.267294742676
2009 December 15033.417574874844
2010 January 12861.057127386875
2010 February 13080.782359038141
2010 March 13717.00976153345
2010 April 13782.817100285147
2010 May 13305.5294311801
2010 June 13003.477593314652
2010 July 12565.386879923823
2010 August 12306.389285752652
2010 September 13051.172011399014
2010 October 13858.969352829303
2010 November 13592.573525927539
2010 December 13097.835571429325
2011 January 9762.984588291905
2011 February 9929.780678926023
2011 March 10412.748623449317
2011 April 10462.70377314391
2011 May 10100.388909637732
2011 June 9871.097692847623
2011 July 9538.537714243634
2011 August 9341.929496485753
2011 September 9907.30310458735
2011 October 10520.511872477293
2011 November 10318.287566445022
2011 December 9942.725979464456
2012 January 11293.325452371797
2012 February 11486.266711131271
2012 March 12044.939536150949
2012 April 12102.725119895447
2012 May 11683.61766020388
2012 June 11418.38520888091
2012 July 11033.696691056903
2012 August 10806.27027553093
2012 September 11460.265793062536
2012 October 12169.594597528121
2012 November 11935.67177590027
2012 December 11501.241178287004
2013 January 10967.537691006088
2013 February 11154.913016061497
2013 March 11697.469350879364
2013 April 11753.587946804664
2013 May 11346.570821500469
2013 June 11088.989746817842
2013 July 10715.398652119866
2013 August 10494.532991714439
