year emi[t] emi_err[t]
1990 465223 111950
1991 481302 110572
1992 518489 112855
1993 522278 115175
1994 519829 115858
1995 523016 117254
1996 503518 108221
1997 480511 108956
1998 463672 103998
1999 427007 98000
2000 380193 92905
2001 350118 89494
2002 327882 81683
2003 305208 81230
2004 246944 76646
2005 224297 75880
2006 210568 73423
2007 211591 71393
2008 206351 65737
2009 181605 44723
2010 158223 51902
2011 120109 51541
2012 138936 50489
2013 134928 43154
2014 120729 37523
2015 128142 36243
2016 120836 43790
2017 121503 43790
2018 124025 43790
2019 128379 43790
2020 134538 43790
